Neighborhood,GeoJSON,Location,Geometry,Area,Place Id
Castleberry Hill,,,"{ ""geometry"": {
      ""location"": {
        ""lat"": 33.74928510000001,
        ""lng"": -84.400194
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.754647,
          ""lng"": -84.39567439999999
        },
        ""southwest"": {
          ""lat"": 33.7426575,
          ""lng"": -84.4065964
        }
      }
    }
}",downtown,ChIJQ30x-nkD9YgREUAfpa2nD-s
Fairlie-Poplar,,,"{ ""geometry"": {
      ""location"": {
        ""lat"": 33.7578889,
        ""lng"": -84.3903423
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.7597269,
          ""lng"": -84.3876734
        },
        ""southwest"": {
          ""lat"": 33.7543594,
          ""lng"": -84.39350990000001
        }
      }
    }
}",downtown,ChIJkYnlJYcD9YgRkbWOv8WlITc
Five Points,,,"{ ""geometry"": {
      ""location"": {
        ""lat"": 33.75455300000001,
        ""lng"": -84.3901181
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.755461,
          ""lng"": -84.38700559999999
        },
        ""southwest"": {
          ""lat"": 33.7519173,
          ""lng"": -84.39259539999999
        }
      }
    }
}",downtown,ChIJg7VOL4ED9YgRP1Qy7TApXUY
Hotel District,,,"{ ""geometry"": {
      ""location"": {
        ""lat"": 33.762273,
        ""lng"": -84.3875376
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.771303,
          ""lng"": -84.3786362
        },
        ""southwest"": {
          ""lat"": 33.75445690000001,
          ""lng"": -84.3935407
        }
      }
    }
}",downtown,ChIJw9Aq-3sE9YgROLwbBxK3NIc
Peachtree Center,,,"{  ""geometry"": {
      ""location"": {
        ""lat"": 33.7594815,
        ""lng"": -84.3859059
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.76230030000001,
          ""lng"": -84.3821078
        },
        ""southwest"": {
          ""lat"": 33.7570911,
          ""lng"": -84.39208579999999
        }
      }
    }
}",downtown,ChIJJyXZPHgE9YgRyoppRJiZYHQ
SoNo,,,"{ ""geometry"": {
      ""location"": {
        ""lat"": 33.7680623,
        ""lng"": -84.3844304
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.77129040000001,
          ""lng"": -84.38189849999999
        },
        ""southwest"": {
          ""lat"": 33.7625766,
          ""lng"": -84.3903959
        }
      }
    }
}",downtown,ChIJd03ehnoE9YgRAVFXh0fPd1U
South Downtown,,,"{ ""geometry"": {
      ""location"": {
        ""lat"": 33.74958119999999,
        ""lng"": -84.392084
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.7550796,
          ""lng"": -84.38417849999999
        },
        ""southwest"": {
          ""lat"": 33.7449413,
          ""lng"": -84.39799189999999
        }
      }
    }
}",downtown,ChIJSX0jE4MD9YgRWGvOwOUad1A
Midtown,,,"{ ""geometry"": {
      ""location"": {
        ""lat"": 33.783315,
        ""lng"": -84.38311659999999
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.8023747,
          ""lng"": -84.3646146
        },
        ""southwest"": {
          ""lat"": 33.7712281,
          ""lng"": -84.3944192
        }
      }
  }
}",midtown,ChIJU4zXC0IE9YgR4ru5MEyJjIc
Ansley Park,,,"{ ""geometry"": {
      ""location"": {
        ""lat"": 33.794558,
        ""lng"": -84.3790372
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.8089985,
          ""lng"": -84.3708855
        },
        ""southwest"": {
          ""lat"": 33.7864907,
          ""lng"": -84.38714499999999
        }
      }
    }
}",midtown,ChIJF6IVYkkE9YgRJN9-pnJA6uo
Atlantic Station,,,"{ ""geometry"": {
      ""location"": {
        ""lat"": 33.7912543,
        ""lng"": -84.3987406
      },
      ""viewport"": {
        ""northeast"": {
          ""lat"": 33.7974176,
          ""lng"": -84.3918228
        },
        ""southwest"": {
          ""lat"": 33.787574,
          ""lng"": -84.4076736
        }
      }
    }
}",midtown,ChIJVbS_XvcE9YgRBnYS_RrLgHg
